id,idade,sexo,formacao,experiencia,fundo_indicado_assessor,informacao,noticia_escolhida,escolha_info_noticia,vies_confirmacao_indicacao,vies_confirmacao_informacao,fundo_escolhido,vies_confirmacao_infonot_escolhidas,vies_confirmacao_indicacao_escolha,perfil,vies_confirmacao_perfil,vies_confirmacao_perfil_decisao
22,41 a 50 anos,Homem,Formado em outra área e não trabalha com finanças,Não possuir investimentos,moderado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
23,51 a 60 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
24,18 a 30 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e não tem conhecimento,moderado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Não apresentou o viés de confirmação
25,31 a 40 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e não tem conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
26,41 a 50 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,arrojado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
27,61 ou mais,Mulher,Formado em adm/cont/eco e trabalha na área financeira,Qualificado,conservador,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
28,41 a 50 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação
29,61 ou mais,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e conhecimento,moderado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
30,51 a 60 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,conservador,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
31,41 a 50 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
32,31 a 40 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Não possuir investimentos,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
33,31 a 40 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e conhecimento,conservador,fundo de ações,fundo de renda fixa,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
34,61 ou mais,Mulher,Outra,Possui investimento e não tem conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
35,31 a 40 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e conhecimento,arrojado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
36,41 a 50 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e conhecimento,moderado,fundo de ações,fundo de renda fixa,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
37,31 a 40 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e conhecimento,moderado,fundo de ações,fundo de renda fixa,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
38,41 a 50 anos,Homem,Outra,Possui investimento e conhecimento,conservador,fundo de renda fixa,fundo de ações,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
39,41 a 50 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e conhecimento,arrojado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
40,18 a 30 anos,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e pouco conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
41,31 a 40 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e pouco conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
42,61 ou mais,Mulher,Formado em outra área e não trabalha com finanças,Não possuir investimentos,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
43,51 a 60 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação
44,51 a 60 anos,Mulher,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
45,61 ou mais,Homem,Formado em outra área e trabalha com finanças,Possui investimento e conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
46,51 a 60 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e pouco conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
47,41 a 50 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e pouco conhecimento,arrojado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
48,31 a 40 anos,Mulher,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
49,18 a 30 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e pouco conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
50,31 a 40 anos,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e pouco conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
51,41 a 50 anos,Mulher,Formado em outra área e não trabalha com finanças,Possui investimento e não tem conhecimento,moderado,fundo de renda fixa,fundo de ações,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Apresentou o viés de confirmação
52,31 a 40 anos,Mulher,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e não tem conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
53,51 a 60 anos,Homem,Formado em outra área e não trabalha com finanças,Não possuir investimentos,moderado,fundo de renda fixa,fundo de ações,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
54,41 a 50 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e pouco conhecimento,arrojado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Apresentou o viés de confirmação
55,41 a 50 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Não possuir investimentos,arrojado,fundo de ações,fundo de renda fixa,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
56,31 a 40 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
57,31 a 40 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Não possuir investimentos,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
58,31 a 40 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,arrojado,fundo de ações,fundo de renda fixa,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
59,51 a 60 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e conhecimento,conservador,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Apresentou o viés de confirmação
60,18 a 30 anos,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e pouco conhecimento,moderado,fundo de ações,fundo de renda fixa,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Apresentou o viés de confirmação
61,31 a 40 anos,Homem,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e pouco conhecimento,moderado,fundo de renda fixa,fundo de ações,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Apresentou o viés de confirmação
62,31 a 40 anos,Homem,Formado em adm/cont/eco e não trabalha na área financeira,Qualificado,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
63,41 a 50 anos,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Não possuir investimentos,moderado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
64,41 a 50 anos,Mulher,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,moderado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação
65,41 a 50 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,moderado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
66,31 a 40 anos,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Não possuir investimentos,arrojado,fundo de renda fixa,fundo de ações,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
67,18 a 30 anos,Mulher,Formado em adm/cont/eco e não trabalha na área financeira,Possui investimento e pouco conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
68,41 a 50 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e não tem conhecimento,conservador,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Apresentou o viés de confirmação
69,51 a 60 anos,Mulher,Formado em outra área e não trabalha com finanças,Não possuir investimentos,arrojado,fundo de renda fixa,fundo de renda fixa,uma informação e uma notícia sobre renda fixa,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Apresentou o viés de confirmação,Não apresentou o viés de confirmação
70,41 a 50 anos,Mulher,Formado em adm/cont/eco e trabalha na área financeira,Possui investimento e conhecimento,moderado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
71,31 a 40 anos,Homem,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,arrojado,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Apresentou o viés de confirmação,Apresentou o viés de confirmação,arrojado,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
72,31 a 40 anos,Mulher,Formado em outra área e não trabalha com finanças,Não possuir investimentos,conservador,fundo de ações,fundo de ações,uma informação e uma notícia sobre ações,Não apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação,conservador,Não apresentou o viés de confirmação,Não apresentou o viés de confirmação
73,31 a 40 anos,Mulher,Formado em outra área e não trabalha com finanças,Possui investimento e pouco conhecimento,moderado,fundo de ações,fundo de renda fixa,uma informação/notíca sobre renda fixa e uma notícia/informação sobre ações,Apresentou o viés de confirmação,Não apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Apresentou o viés de confirmação,moderado,Apresentou o viés de confirmação,Apresentou o viés de confirmação
